,Date,Open,High,Low,Close,Adj Close,Volume,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,certaintyPartscr,uncertaintyPartscr
0,2018-01-02,170.16000366210938,172.3000030517578,169.25999450683594,172.25999450683594,166.3537139892578,25555900,0.0023,0.0182,0.0137,0.002,0.0043,0.0256,0.0314,0.0117,0.0167
1,2018-01-03,172.52999877929688,174.5500030517578,171.9600067138672,172.22999572753906,166.32472229003906,29517900,0.001,0.0158,0.018,0.0022,0.0044,0.035,0.0174,0.009,0.0136
2,2018-01-04,172.5399932861328,173.47000122070312,172.0800018310547,173.02999877929688,167.0972900390625,22434600,0.0012,0.0131,0.0264,0.0002,0.0078,0.0167,0.0129,0.0078,0.0057
3,2018-01-05,173.44000244140625,175.3699951171875,173.0500030517578,175.0,168.99974060058594,23660000,0.0023,0.0108,0.0423,0.0024,0.0105,0.0171,0.0131,0.0079,0.0091
4,2018-01-08,174.35000610351562,175.61000061035156,173.92999267578125,174.35000610351562,168.37203979492188,20567800,0.0015,0.0202,0.0196,0.0036,0.0052,0.0186,0.0174,0.0114,0.0098
5,2018-01-09,174.5500030517578,175.05999755859375,173.41000366210938,174.3300018310547,168.35272216796875,21584000,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-01-10,173.16000366210938,174.3000030517578,173.0,174.2899932861328,168.31410217285156,23959900,0.0018,0.0099,0.0337,0.0025,0.0051,0.0108,0.0122,0.0046,0.0067
7,2018-01-11,174.58999633789062,175.49000549316406,174.49000549316406,175.27999877929688,169.27015686035156,18667700,0.0009,0.0116,0.0333,0.004,0.0049,0.013,0.0159,0.0035,0.0052
8,2018-01-12,176.17999267578125,177.36000061035156,175.64999389648438,177.08999633789062,171.0181121826172,25418100,0.0008,0.0135,0.0231,0.0039,0.0022,0.013,0.0124,0.008,0.0058
9,2018-01-16,177.89999389648438,179.38999938964844,176.13999938964844,176.19000244140625,170.1489715576172,29565900,0.0013,0.0145,0.0322,0.0012,0.0067,0.0124,0.0137,0.0064,0.0092
10,2018-01-17,176.14999389648438,179.25,175.07000732421875,179.10000610351562,172.95921325683594,34386800,0.0026,0.0128,0.0189,0.0003,0.0051,0.0128,0.0143,0.0065,0.0102
11,2018-01-18,179.3699951171875,180.10000610351562,178.25,179.25999450683594,173.1136932373047,31193400,0.0022,0.0093,0.0167,0.0007,0.0059,0.0156,0.013,0.0098,0.0064
12,2018-01-19,178.61000061035156,179.5800018310547,177.41000366210938,178.4600067138672,172.3411407470703,32425100,0.0014,0.0178,0.0089,0.0011,0.0065,0.0189,0.0174,0.0091,0.0094
13,2018-01-22,177.3000030517578,177.77999877929688,176.60000610351562,177.0,170.9311981201172,27108600,0.001,0.017,0.0224,0.0032,0.0063,0.0172,0.0239,0.0106,0.0134
14,2018-01-23,177.3000030517578,179.44000244140625,176.82000732421875,177.0399932861328,170.9698028564453,32689100,0.0016,0.0159,0.0172,0.0015,0.0075,0.0211,0.0196,0.0075,0.0048
15,2018-01-24,177.25,177.3000030517578,173.1999969482422,174.22000122070312,168.24652099609375,51105100,0.0031,0.0135,0.0321,0.0015,0.0067,0.0144,0.0165,0.0091,0.0077
16,2018-01-25,174.50999450683594,174.9499969482422,170.52999877929688,171.11000061035156,165.24313354492188,41529000,0.0028,0.0112,0.0232,0.0021,0.0093,0.0152,0.0163,0.0068,0.0077
17,2018-01-26,172.0,172.0,170.05999755859375,171.50999450683594,165.62940979003906,39143000,0.0008,0.0121,0.0182,0.0015,0.006,0.0167,0.0147,0.008,0.0111
18,2018-01-29,170.16000366210938,170.16000366210938,167.07000732421875,167.9600067138672,162.20114135742188,50640400,0.0018,0.0101,0.0224,0.0018,0.0156,0.0202,0.0141,0.0083,0.0132
19,2018-01-30,165.52999877929688,167.3699951171875,164.6999969482422,166.97000122070312,161.24510192871094,46048200,0.0022,0.0143,0.0293,0.002,0.0158,0.0173,0.0159,0.0066,0.0097
20,2018-01-31,166.8699951171875,168.44000244140625,166.5,167.42999267578125,161.68931579589844,32478900,0.0017,0.0121,0.0308,0.0025,0.013,0.0197,0.0175,0.0073,0.0087
21,2018-02-01,167.1699981689453,168.6199951171875,166.75999450683594,167.77999877929688,162.02732849121094,47230800,0.0041,0.0167,0.0145,0.0017,0.0097,0.0268,0.0126,0.0081,0.0121
