,Date,Open,High,Low,Close,Adj Close,Volume,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,certaintyPartscr,uncertaintyPartscr
0,2018-01-02,1172.0,1190.0,1170.510009765625,1189.010009765625,1189.010009765625,2694500,0.0031,0.0177,0.0105,0.0015,0.004,0.0178,0.0242,0.01,0.0106
1,2018-01-03,1188.300048828125,1205.489990234375,1188.300048828125,1204.199951171875,1204.199951171875,3108800,0.0009,0.019,0.0105,0.0018,0.0047,0.0216,0.0178,0.0091,0.0083
2,2018-01-04,1205.0,1215.8699951171875,1204.6600341796875,1209.5899658203125,1209.5899658203125,3022100,0.001,0.0136,0.0226,0.0002,0.0075,0.0228,0.0121,0.0083,0.0072
3,2018-01-05,1217.510009765625,1229.1400146484375,1210.0,1229.1400146484375,1229.1400146484375,3544700,0.0015,0.0133,0.026,0.001,0.0065,0.0102,0.0129,0.0071,0.0069
4,2018-01-08,1236.0,1253.0799560546875,1232.030029296875,1246.8699951171875,1246.8699951171875,4279500,0.0018,0.0154,0.0174,0.0015,0.0074,0.0168,0.0166,0.0089,0.0086
5,2018-01-09,1256.9000244140625,1259.3299560546875,1241.760009765625,1252.699951171875,1252.699951171875,3661300,0.0015,0.019,0.0129,0.002,0.0054,0.0238,0.014,0.0083,0.0067
6,2018-01-10,1245.1500244140625,1254.3299560546875,1237.22998046875,1254.3299560546875,1254.3299560546875,2686000,0.0015,0.0165,0.0111,0.0009,0.0038,0.0161,0.0148,0.0066,0.0051
7,2018-01-11,1259.739990234375,1276.77001953125,1256.4599609375,1276.6800537109375,1276.6800537109375,3125000,0.0015,0.0167,0.0133,0.0011,0.0049,0.0144,0.0167,0.006,0.0061
8,2018-01-12,1273.3900146484375,1305.760009765625,1273.3900146484375,1305.199951171875,1305.199951171875,5443700,0.0018,0.012,0.0348,0.0014,0.0071,0.0144,0.0104,0.0085,0.0063
9,2018-01-16,1323.0,1339.93994140625,1292.300048828125,1304.8599853515625,1304.8599853515625,7220700,0.0022,0.0218,0.0166,0.0003,0.0043,0.0094,0.0152,0.0058,0.0048
10,2018-01-17,1312.239990234375,1314.0,1280.8800048828125,1295.0,1295.0,5253800,0.0018,0.0157,0.0165,0.0002,0.0051,0.011,0.0146,0.006,0.008
11,2018-01-18,1293.949951171875,1304.5999755859375,1284.02001953125,1293.3199462890625,1293.3199462890625,4026900,0.0032,0.0115,0.011,0.0011,0.0056,0.0147,0.0121,0.0117,0.0076
12,2018-01-19,1312.0,1313.0,1292.989990234375,1294.5799560546875,1294.5799560546875,4578500,0.0021,0.0101,0.0104,0.002,0.0027,0.0133,0.0132,0.0091,0.0086
