,Date,Open,High,Low,Close,Adj Close,Volume,downloadedDate,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
0,2019-09-03,59.209999084472656,59.209999084472656,58.0,58.310001373291016,58.310001373291016,15,2019-09-03,0.0006,0.0127,0.0,0.0,0.0,0.0084,0.0042,0.0042,0.0,0.0042
1,2019-09-04,58.81999969482422,59.41999816894531,58.59000015258789,58.77000045776367,58.77000045776367,35,2019-09-04,0.0001,0.0,0.0,0.0,0.0625,0.0,0.0312,0.0,0.0,0.0
2,2019-09-05,58.790000915527344,59.439998626708984,58.790000915527344,59.15999984741211,59.15999984741211,40,2019-09-05,0.0008,0.0052,0.0044,0.0007,0.0059,0.051,0.0022,0.0022,0.0015,0.0007
3,2019-09-06,59.4900016784668,59.4900016784668,58.54999923706055,58.72999954223633,58.72999954223633,23,2019-09-06,0.0004,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-09-09,58.75,59.20000076293945,58.709999084472656,59.119998931884766,59.119998931884766,38,2019-09-09,0.0004,0.0084,0.0043,0.0,0.0084,0.0212,0.0127,0.0,0.0084,0.0
5,2019-09-10,59.20000076293945,59.7599983215332,59.20000076293945,59.5,59.5,19,2019-09-10,0.0003,0.0065,0.0,0.0,0.0131,0.0131,0.0196,0.0,0.0065,0.0
6,2019-09-11,59.47999954223633,59.47999954223633,59.349998474121094,59.369998931884766,59.369998931884766,19,2019-09-11,0.0004,0.0051,0.0203,0.0,0.0101,0.0152,0.0101,0.0,0.0203,0.0051
7,2019-09-12,59.400001525878906,62.25,59.400001525878906,62.25,62.25,6,2019-09-12,0.0006,0.0101,0.0063,0.0,0.0063,0.0176,0.0114,0.005,0.0013,0.0101
8,2019-09-13,62.27000045776367,62.810001373291016,61.58000183105469,61.630001068115234,61.630001068115234,142,2019-09-13,0.0004,0.0131,0.0065,0.0,0.0065,0.0,0.0131,0.0065,0.0131,0.0
9,2019-09-16,61.29999923706055,61.619998931884766,61.29999923706055,61.59000015258789,61.59000015258789,73,2019-09-16,0.0004,0.0,0.04,0.02,0.0,0.0,0.04,0.02,0.0,0.02
10,2019-09-17,61.59000015258789,61.59000015258789,59.970001220703125,60.119998931884766,60.119998931884766,56,2019-09-17,0.0005,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0
11,2019-09-18,59.7599983215332,59.7599983215332,59.25,59.36000061035156,59.36000061035156,35,2019-09-18,0.0006,0.0097,0.0,0.0,0.0049,0.0145,0.0267,0.0024,0.0121,0.0024
12,2019-09-19,59.099998474121094,59.380001068115234,59.099998474121094,58.9900016784668,58.9900016784668,36,2019-09-19,0.0003,0.006,0.0269,0.0,0.0119,0.0418,0.003,0.0119,0.0,0.0
13,2019-09-20,59.349998474121094,59.43000030517578,59.02000045776367,59.130001068115234,59.130001068115234,30,2019-09-20,0.0009,0.0078,0.0093,0.0039,0.0023,0.055,0.0085,0.0023,0.0039,0.0046
14,2019-09-23,58.81999969482422,60.25,58.68000030517578,59.83000183105469,59.83000183105469,56,2019-09-23,0.0004,0.0105,0.0251,0.0,0.0105,0.0608,0.0168,0.0168,0.0126,0.0126
15,2019-09-24,60.34000015258789,60.34000015258789,58.79999923706055,59.31999969482422,59.31999969482422,69,2019-09-24,0.0004,0.0153,0.0229,0.0,0.0191,0.0267,0.0153,0.0114,0.0038,0.0038
16,2019-09-25,59.369998931884766,59.369998931884766,59.369998931884766,59.369998931884766,59.369998931884766,8,2019-09-25,0.0014,0.0193,0.0216,0.0007,0.0126,0.023,0.0163,0.0015,0.0015,0.0149
17,2019-09-26,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,0,2019-09-26,0.0007,0.014,0.0094,0.0,0.0,0.0047,0.014,0.0047,0.0047,0.0047
18,2019-09-27,59.81999969482422,59.81999969482422,59.81999969482422,59.81999969482422,59.81999969482422,0,2019-09-27,0.0003,0.0103,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0
19,2019-09-30,59.75,59.75,59.75,59.75,59.75,0,2019-09-30,0.0009,0.0059,0.0276,0.004,0.0236,0.0227,0.0,0.004,0.0,0.004
20,2019-10-01,59.900001525878906,59.900001525878906,59.900001525878906,59.900001525878906,59.900001525878906,0,2019-10-01,0.0004,0.0119,0.0,0.0,0.0079,0.0,0.0119,0.0,0.0119,0.0
21,2019-10-02,60.709999084472656,60.709999084472656,60.709999084472656,60.25,60.25,0,2019-10-02,0.0004,0.0099,0.0298,0.0,0.0256,0.027,0.0313,0.0227,0.0114,0.0142
22,2019-10-03,60.52000045776367,60.52000045776367,60.52000045776367,60.52000045776367,60.52000045776367,1,2019-10-03,0.0002,0.0154,0.0,0.0,0.0231,0.0,0.0348,0.0039,0.0039,0.0116
23,2019-10-04,60.59000015258789,60.59000015258789,60.59000015258789,60.59000015258789,60.59000015258789,0,2019-10-04,0.0008,0.0214,0.0185,0.0,0.0117,0.0146,0.0194,0.0078,0.0039,0.0087
24,2019-10-07,60.75,60.75,60.75,60.75,60.75,0,2019-10-07,0.0004,0.0,0.0084,0.0,0.0,0.0,0.0168,0.0,0.0084,0.0
25,2019-10-08,60.2400016784668,60.2400016784668,60.2400016784668,60.2400016784668,60.2400016784668,0,2019-10-08,0.0004,0.0159,0.0159,0.0,0.0,0.0,0.0317,0.0,0.0159,0.0
26,2019-10-09,61.0099983215332,61.0099983215332,61.0099983215332,61.0099983215332,61.0099983215332,0,2019-10-09,0.0007,0.0191,0.0,0.0,0.0191,0.0191,0.0,0.0,0.0,0.0
27,2019-10-10,62.0,62.470001220703125,61.36000061035156,61.41999816894531,61.41999816894531,13585,2019-10-10,0.0005,0.0134,0.0107,0.0,0.0187,0.0295,0.008,0.0187,0.0,0.0054
28,2019-10-11,61.81999969482422,64.0,61.47999954223633,63.880001068115234,63.880001068115234,12571,2019-10-11,0.0006,0.0055,0.0222,0.0028,0.0139,0.0111,0.0111,0.0028,0.0083,0.0028
29,2019-10-14,64.19999694824219,65.8499984741211,62.189998626708984,62.220001220703125,62.220001220703125,39033,2019-10-14,0.0008,0.0086,0.0172,0.0,0.0316,0.0287,0.0172,0.0143,0.0058,0.0029
30,2019-10-15,62.150001525878906,63.68000030517578,61.720001220703125,63.529998779296875,63.529998779296875,33245,2019-10-15,0.0006,0.014,0.0105,0.0,0.0,0.0035,0.007,0.0,0.0035,0.0035
31,2019-10-16,63.5,64.58000183105469,63.040000915527344,64.54000091552734,64.54000091552734,22278,2019-10-16,0.0005,0.0078,0.0,0.0,0.0078,0.0156,0.0078,0.0078,0.0,0.0
32,2019-10-17,64.5,65.13999938964844,64.19000244140625,64.98999786376953,64.98999786376953,21137,2019-10-17,0.0003,0.0184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2019-10-18,65.19999694824219,65.38999938964844,65.0,65.16000366210938,65.16000366210938,17549,2019-10-18,0.0006,0.0024,0.0072,0.0,0.0024,0.0096,0.0,0.0024,0.0,0.0
34,2019-10-21,65.19000244140625,65.4800033569336,64.44000244140625,64.55999755859375,64.55999755859375,16479,2019-10-21,0.0005,0.0,0.0,0.0,0.0334,0.0,0.0,0.0,0.0,0.0
35,2019-10-22,64.44000244140625,65.19999694824219,63.959999084472656,64.66999816894531,64.66999816894531,18874,2019-10-22,0.0006,0.0248,0.0248,0.0022,0.0248,0.0271,0.0181,0.0158,0.0068,0.0135
36,2019-10-23,64.44999694824219,65.18000030517578,64.4000015258789,64.94999694824219,64.94999694824219,17911,2019-10-23,0.0009,0.0057,0.0019,0.0,0.0192,0.0192,0.0172,0.0019,0.0134,0.0
37,2019-10-24,65.0,65.55000305175781,64.5999984741211,64.6500015258789,64.6500015258789,12477,2019-10-24,0.0003,0.0325,0.0135,0.0,0.0081,0.0352,0.0271,0.0136,0.0081,0.0136
38,2019-10-25,64.69999694824219,65.69999694824219,64.58000183105469,64.9000015258789,64.9000015258789,12270,2019-10-25,0.0006,0.0161,0.0072,0.0,0.0054,0.0107,0.0197,0.0125,0.0018,0.0036
39,2019-10-28,65.11000061035156,65.30000305175781,64.4800033569336,64.79000091552734,64.79000091552734,16448,2019-10-28,0.0007,0.0185,0.0291,0.0,0.0424,0.037,0.0159,0.0265,0.0106,0.0132
40,2019-10-29,64.91000366210938,65.4800033569336,64.69999694824219,64.72000122070312,64.72000122070312,14899,2019-10-29,0.0005,0.0175,0.0314,0.0,0.021,0.021,0.0,0.0035,0.0,0.0
41,2019-10-30,64.6500015258789,65.98999786376953,64.63999938964844,65.69999694824219,65.69999694824219,13548,2019-10-30,0.0008,0.007,0.0047,0.0,0.0094,0.0071,0.0353,0.0,0.0071,0.007
42,2019-10-31,65.5999984741211,65.95999908447266,64.0199966430664,64.44000244140625,64.44000244140625,22714,2019-10-31,0.0007,0.0091,0.0146,0.0,0.0146,0.0091,0.0018,0.0036,0.0,0.0018
43,2019-11-01,64.45999908447266,64.91000366210938,63.810001373291016,64.2300033569336,64.2300033569336,35383,2019-11-01,0.0006,0.0113,0.0028,0.0,0.0057,0.0156,0.0128,0.0028,0.0014,0.0156
44,2019-11-04,64.7300033569336,64.9800033569336,63.540000915527344,63.65999984741211,63.65999984741211,24411,2019-11-04,0.0002,0.0288,0.024,0.0048,0.0144,0.0337,0.0144,0.0096,0.0,0.0048
45,2019-11-05,63.66999816894531,64.20999908447266,63.54999923706055,63.810001373291016,63.810001373291016,24139,2019-11-05,0.0012,0.0351,0.0,0.0,0.007,0.0106,0.0369,0.0106,0.0018,0.0035
46,2019-11-06,63.810001373291016,64.11000061035156,63.45000076293945,63.689998626708984,63.689998626708984,24082,2019-11-06,0.001,0.0022,0.0022,0.0,0.0,0.0089,0.0224,0.0022,0.0045,0.0
47,2019-11-07,63.630001068115234,64.8499984741211,63.459999084472656,64.3499984741211,64.3499984741211,23267,2019-11-07,0.0001,0.0303,0.0,0.0,0.0,0.0,0.0303,0.0,0.0,0.0
48,2019-11-08,64.3499984741211,65.05999755859375,63.61000061035156,64.72000122070312,64.72000122070312,29235,2019-11-08,0.0002,0.0089,0.0268,0.0089,0.0089,0.0,0.0268,0.0179,0.0,0.0447
49,2019-11-11,64.56999969482422,64.8499984741211,63.72999954223633,64.29000091552734,64.29000091552734,35657,2019-11-11,0.0011,0.0151,0.0076,0.0,0.0114,0.034,0.0415,0.0076,0.0188,0.0302
50,2019-11-12,64.0999984741211,64.83000183105469,64.01000213623047,64.73999786376953,64.73999786376953,33881,2019-11-12,0.0004,0.0599,0.0007,0.0,0.0075,0.0034,0.0027,0.0054,0.0007,0.0
51,2019-11-13,64.80000305175781,64.8499984741211,64.12999725341797,64.22000122070312,64.22000122070312,25686,2019-11-13,0.0004,0.0173,0.0404,0.0,0.0115,0.0086,0.0029,0.0,0.0086,0.0
52,2019-11-14,64.18000030517578,64.91999816894531,63.849998474121094,64.2699966430664,64.2699966430664,18788,2019-11-14,0.0005,0.0142,0.0256,0.0028,0.0227,0.0199,0.0142,0.0028,0.0114,0.0028
53,2019-11-15,64.26000213623047,65.0,64.23999786376953,64.86000061035156,64.86000061035156,10324,2019-11-15,0.0006,0.0,0.0104,0.0,0.0035,0.0104,0.0035,0.0035,0.0035,0.0
54,2019-11-18,64.9000015258789,64.9000015258789,63.5099983215332,64.20999908447266,64.20999908447266,11335,2019-11-18,0.0006,0.0156,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0
55,2019-11-19,63.849998474121094,64.23999786376953,63.29999923706055,63.439998626708984,63.439998626708984,8768,2019-11-19,0.0005,0.0148,0.0177,0.003,0.0236,0.0237,0.0089,0.0,0.0059,0.0
