,Date,Open,High,Low,Close,Adj Close,Volume,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,certaintyPartscr,uncertaintyPartscr
0,2018-01-02,108.94999694824219,111.80999755859375,108.55999755859375,111.80000305175781,108.72606658935547,11014300,0.001,0.0199,0.0173,0.0023,0.0079,0.0229,0.0162,0.0068,0.0053
1,2018-01-03,112.19000244140625,113.19000244140625,111.44999694824219,112.27999877929688,109.19285583496094,9237900,0.0006,0.0086,0.0257,0.0,0.0011,0.0097,0.012,0.0017,0.0063
2,2018-01-04,112.94999694824219,113.0,111.62999725341797,112.2300033569336,109.14424133300781,7417400,0.0001,0.0127,0.0109,0.0055,0.0,0.0091,0.0181,0.0181,0.0073
3,2018-01-05,112.68000030517578,112.68000030517578,111.23999786376953,111.62000274658203,108.5510025024414,6008300,0.0001,0.0,0.0,0.0,0.0,0.0,0.0317,0.0,0.0
4,2018-01-08,110.88999938964844,111.27999877929688,109.54000091552734,110.0199966430664,106.9949951171875,8052600,0.0005,0.0234,0.0253,0.0014,0.011,0.0224,0.0139,0.0038,0.0062
5,2018-01-09,110.12999725341797,110.86000061035156,109.86000061035156,109.94000244140625,106.91719055175781,5838000,0.0002,0.012,0.0015,0.0,0.0015,0.018,0.0075,0.0075,0.003
6,2018-01-10,109.95999908447266,110.5,109.01000213623047,109.47000122070312,106.46011352539062,6060000,0.0003,0.0271,0.0063,0.001,0.001,0.0146,0.0156,0.0073,0.0052
7,2018-01-11,110.25,111.08000183105469,109.51000213623047,110.98999786376953,107.93832397460938,6427000,0.0001,0.0291,0.0042,0.0,0.0042,0.025,0.0042,0.0,0.0042
8,2018-01-12,111.31999969482422,112.72000122070312,111.0,112.47000122070312,109.37763214111328,5899900,0.0005,0.0119,0.0084,0.0021,0.0056,0.0035,0.0098,0.0035,0.0021
9,2018-01-16,113.06999969482422,113.16000366210938,110.62000274658203,110.69000244140625,107.64657592773438,8069200,0.0002,0.0044,0.0175,0.0,0.011,0.0087,0.0132,0.011,0.0022
10,2018-01-17,111.19999694824219,112.20999908447266,110.56999969482422,111.97000122070312,108.8913803100586,7030700,0.0002,0.0237,0.0149,0.001,0.0,0.0099,0.0089,0.005,0.0069
11,2018-01-18,111.73999786376953,111.98999786376953,110.19999694824219,110.41999816894531,107.38400268554688,8070900,0.0002,0.0319,0.0018,0.0,0.0018,0.0088,0.0071,0.0088,0.0
12,2018-01-19,110.97000122070312,111.08999633789062,109.83999633789062,110.58999633789062,107.54931640625,10514300,,,,,,,,,
13,2018-01-22,110.2699966430664,111.55999755859375,110.05999755859375,111.0999984741211,108.04529571533203,8073600,0.0007,0.017,0.0229,0.0017,0.0091,0.0173,0.0097,0.0097,0.0067
14,2018-01-23,110.2699966430664,111.13999938964844,109.88999938964844,110.41000366210938,107.37428283691406,7477300,0.0017,0.008,0.0114,0.0019,0.0044,0.0152,0.0169,0.0063,0.0091
15,2018-01-24,110.95999908447266,111.43000030517578,110.29000091552734,110.5,107.4617919921875,7211800,0.001,0.0157,0.0166,0.002,0.0067,0.016,0.0188,0.0071,0.0084
16,2018-01-25,110.5999984741211,111.81999969482422,110.12000274658203,110.55000305175781,107.51042175292969,6291000,0.0006,0.0209,0.014,0.0011,0.0081,0.0191,0.0103,0.0059,0.0088
17,2018-01-26,110.80999755859375,112.52999877929688,110.66999816894531,112.19000244140625,109.10533142089844,7743800,0.0009,0.0181,0.0077,0.0003,0.0007,0.0057,0.0144,0.0024,0.0044
18,2018-01-29,112.0999984741211,112.44999694824219,111.23999786376953,111.54000091552734,108.47320556640625,6847800,0.0003,0.0189,0.0236,0.0012,0.0055,0.0043,0.0087,0.0075,0.0059
19,2018-01-30,111.41999816894531,112.41999816894531,110.0999984741211,110.11000061035156,107.08251953125,8393900,0.0003,0.0182,0.0326,0.0017,0.0116,0.0094,0.0132,0.0094,0.0072
20,2018-01-31,110.08000183105469,110.12000274658203,108.47000122070312,108.66999816894531,105.68211364746094,9841400,0.0009,0.0283,0.0147,0.0003,0.0035,0.0121,0.017,0.0092,0.0055
21,2018-02-01,108.62000274658203,110.6500015258789,107.36000061035156,110.48999786376953,107.45207214355469,9518900,0.0002,0.02,0.0117,0.0,0.0033,0.0133,0.0209,0.0083,0.0083
22,2018-02-02,109.94999694824219,110.58000183105469,108.44999694824219,108.69999694824219,105.71128845214844,9947700,0.0001,0.0114,0.0143,0.0029,0.0029,0.0228,0.0143,0.0057,0.0143
23,2018-02-05,107.0999984741211,108.62999725341797,104.01000213623047,104.69999694824219,101.82125854492188,15107900,0.0001,0.0234,0.01,0.0033,0.0117,0.0268,0.015,0.0067,0.0
24,2018-02-06,102.87999725341797,106.19999694824219,101.76000213623047,106.16999816894531,103.2508544921875,17765100,0.0018,0.0091,0.0144,0.0,0.0218,0.0201,0.0087,0.0026,0.0073
25,2018-02-07,107.83000183105469,108.02999877929688,104.41000366210938,104.76000213623047,101.87962341308594,12445000,0.0012,0.0145,0.0119,0.0005,0.0071,0.0169,0.0158,0.0061,0.0052
26,2018-02-08,105.47000122070312,105.81999969482422,101.19000244140625,101.3499984741211,98.5633773803711,12667500,0.0004,0.0134,0.0094,0.0003,0.0019,0.0097,0.0069,0.0041,0.005
27,2018-02-09,102.55000305175781,103.75,100.26000213623047,103.08999633789062,100.25553131103516,12479700,0.0002,0.0039,0.0098,0.0,0.0118,0.0197,0.0,0.0,0.0
28,2018-02-12,103.93000030517578,104.63999938964844,102.0999984741211,103.38999938964844,100.54728698730469,9584700,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2018-02-13,102.63999938964844,104.30999755859375,102.4000015258789,104.12000274658203,101.25721740722656,8447900,0.0002,0.0096,0.0141,0.0028,0.0017,0.0119,0.0113,0.0079,0.0068
30,2018-02-14,103.48999786376953,104.76000213623047,102.69000244140625,104.5999984741211,101.72401428222656,7425700,0.0004,0.0192,0.0138,0.0008,0.0051,0.0207,0.0128,0.0107,0.0118
31,2018-02-15,105.36000061035156,105.56999969482422,103.93000030517578,105.18000030517578,102.28807067871094,6494700,0.0004,0.0124,0.021,0.0023,0.0055,0.0214,0.0152,0.0139,0.0148
32,2018-02-16,105.19000244140625,107.3499984741211,105.19000244140625,106.52999877929688,103.6009521484375,8746400,0.0003,0.0233,0.0024,0.0,0.0008,0.012,0.0136,0.0024,0.0048
33,2018-02-20,106.37000274658203,107.56999969482422,105.5199966430664,105.9800033569336,103.06607818603516,6734500,0.0008,0.0203,0.0124,0.0,0.0038,0.0117,0.0103,0.0069,0.0045
