,Date,Open,High,Low,Close,Adj Close,Volume,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,certaintyPartscr,uncertaintyPartscr
0,2018-01-02,177.67999267578125,181.5800018310547,177.5500030517578,181.4199981689453,181.4199981689453,18151900,0.0018,0.0103,0.0126,0.0,0.0029,0.0332,0.0118,0.0185,0.0052
1,2018-01-03,181.8800048828125,184.77999877929688,181.3300018310547,184.6699981689453,184.6699981689453,16886600,0.0006,0.0116,0.0088,0.0,0.0058,0.0379,0.0102,0.0218,0.0102
2,2018-01-04,184.89999389648438,186.2100067138672,184.10000610351562,184.3300018310547,184.3300018310547,13880900,0.0009,0.0136,0.0399,0.0051,0.0051,0.0306,0.0068,0.0111,0.0136
3,2018-01-05,185.58999633789062,186.89999389648438,184.92999267578125,186.85000610351562,186.85000610351562,13574500,0.0006,0.0216,0.0492,0.0072,0.0072,0.0252,0.006,0.0048,0.0108
4,2018-01-08,187.1999969482422,188.89999389648438,186.3300018310547,188.27999877929688,188.27999877929688,17994700,0.0008,0.0192,0.0192,0.0,0.0026,0.0224,0.0243,0.0109,0.0083
5,2018-01-09,188.6999969482422,188.8000030517578,187.10000610351562,187.8699951171875,187.8699951171875,12393100,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-01-10,186.94000244140625,187.88999938964844,185.6300048828125,187.83999633789062,187.83999633789062,10529900,0.0003,0.0024,0.044,0.0,0.0,0.0,0.0,0.0074,0.0074
7,2018-01-11,188.39999389648438,188.39999389648438,187.3800048828125,187.77000427246094,187.77000427246094,9588600,0.0006,0.0171,0.0275,0.001,0.0019,0.001,0.0029,0.0029,0.0067
8,2018-01-12,178.05999755859375,181.47999572753906,177.39999389648438,179.3699951171875,179.3699951171875,77551300,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018-01-16,181.5,181.75,178.0399932861328,178.38999938964844,178.38999938964844,36183800,0.0011,0.0135,0.0161,0.0,0.0006,0.0077,0.0186,0.0045,0.009
10,2018-01-17,179.25999450683594,179.32000732421875,175.8000030517578,177.60000610351562,177.60000610351562,27992400,0.001,0.0124,0.0206,0.0,0.0018,0.0077,0.0124,0.0035,0.0106
11,2018-01-18,178.1300048828125,180.97999572753906,177.0800018310547,179.8000030517578,179.8000030517578,23304900,0.001,0.02,0.0158,0.0,0.0021,0.0295,0.0105,0.0053,0.0137
12,2018-01-19,180.85000610351562,182.3699951171875,180.1699981689453,181.2899932861328,181.2899932861328,26826500,0.0009,0.0124,0.0197,0.0021,0.0055,0.0149,0.0133,0.0154,0.0055
13,2018-01-22,180.8000030517578,185.38999938964844,180.41000366210938,185.3699951171875,185.3699951171875,21059500,0.0008,0.0232,0.0226,0.0048,0.0036,0.0119,0.0125,0.0101,0.0107
14,2018-01-23,186.0500030517578,189.5500030517578,185.5500030517578,189.35000610351562,189.35000610351562,25678800,0.0005,0.0165,0.0165,0.0062,0.0082,0.0072,0.0175,0.0144,0.0134
15,2018-01-24,189.88999938964844,190.66000366210938,186.52000427246094,186.5500030517578,186.5500030517578,24334500,0.0007,0.0164,0.0094,0.0,0.007,0.0234,0.0023,0.0211,0.0047
16,2018-01-25,187.9499969482422,188.6199951171875,186.60000610351562,187.47999572753906,187.47999572753906,17377700,0.0004,0.0061,0.0396,0.003,0.0,0.0061,0.0213,0.0122,0.0061
17,2018-01-26,187.75,190.0,186.80999755859375,190.0,190.0,17759200,0.0008,0.0059,0.0419,0.0,0.0069,0.0097,0.0058,0.0088,0.0058
18,2018-01-29,188.75,188.83999633789062,185.6300048828125,185.97999572753906,185.97999572753906,20453200,0.0006,0.0178,0.0177,0.0011,0.0042,0.023,0.0157,0.0084,0.0073
19,2018-01-30,187.6199951171875,188.17999267578125,181.83999633789062,187.1199951171875,187.1199951171875,20858600,0.0007,0.0206,0.0344,0.0,0.0034,0.0223,0.0241,0.0069,0.0103
20,2018-01-31,188.3699951171875,189.8300018310547,185.22000122070312,186.88999938964844,186.88999938964844,43275100,0.0023,0.0094,0.0145,0.0005,0.0062,0.0181,0.0145,0.0044,0.0126
21,2018-02-01,188.22000122070312,195.32000732421875,187.88999938964844,193.08999633789062,193.08999633789062,54211300,0.0017,0.0141,0.0293,0.0018,0.0073,0.0215,0.0104,0.0076,0.0101
22,2018-02-02,192.0399932861328,194.2100067138672,189.97999572753906,190.27999877929688,190.27999877929688,26677500,0.0005,0.0,0.0528,0.0,0.0,0.0162,0.0,0.0,0.0
23,2018-02-05,186.92999267578125,190.61000061035156,180.61000061035156,181.25999450683594,181.25999450683594,33128200,0.0006,0.0029,0.0049,0.0,0.0019,0.0127,0.0088,0.0019,0.0068
24,2018-02-06,178.57000732421875,185.77000427246094,177.74000549316406,185.30999755859375,185.30999755859375,37758500,0.0008,0.0035,0.0158,0.0,0.0035,0.0211,0.0158,0.0035,0.0088
25,2018-02-07,184.14999389648438,185.0800018310547,179.9499969482422,180.17999267578125,180.17999267578125,27601900,0.0003,0.0085,0.0212,0.0042,0.0169,0.0381,0.0212,0.0212,0.0042
26,2018-02-08,181.00999450683594,181.83999633789062,171.47999572753906,171.5800018310547,171.5800018310547,38478300,0.0004,0.0092,0.0274,0.0069,0.0103,0.0091,0.0114,0.0103,0.0069
27,2018-02-09,174.75999450683594,176.89999389648438,167.17999267578125,176.11000061035156,176.11000061035156,39887600,0.0003,0.0084,0.014,0.0056,0.0042,0.0084,0.0056,0.0042,0.0014
28,2018-02-12,177.05999755859375,177.5500030517578,171.83999633789062,176.41000366210938,176.41000366210938,32092100,0.0003,0.0164,0.0391,0.0038,0.0038,0.0189,0.0164,0.0063,0.0063
29,2018-02-13,175.6199951171875,175.97000122070312,173.10000610351562,173.14999389648438,173.14999389648438,21809400,0.0005,0.0133,0.0387,0.0024,0.0048,0.0218,0.0085,0.0109,0.0073
30,2018-02-14,173.4499969482422,179.80999755859375,173.2100067138672,179.52000427246094,179.52000427246094,28929700,0.0007,0.013,0.013,0.0,0.013,0.0422,0.0162,0.0049,0.0081
31,2018-02-15,180.5,180.5,176.83999633789062,179.9600067138672,179.9600067138672,20922100,0.0012,0.0067,0.0202,0.0022,0.003,0.009,0.0067,0.0045,0.0075
32,2018-02-16,178.99000549316406,179.8800048828125,176.3000030517578,177.36000061035156,177.36000061035156,20645300,0.0011,0.005,0.037,0.0017,0.0017,0.0084,0.0092,0.005,0.0084
33,2018-02-20,175.77000427246094,177.9499969482422,175.11000061035156,176.00999450683594,176.00999450683594,21204900,0.0006,0.0064,0.0523,0.0024,0.0044,0.0068,0.0005,0.0132,0.0015
34,2018-02-21,176.7100067138672,181.27000427246094,176.39999389648438,177.91000366210938,177.91000366210938,23200800,0.0008,0.0068,0.0182,0.0023,0.0,0.0103,0.0045,0.0023,0.0011
35,2018-02-22,178.6999969482422,180.2100067138672,177.41000366210938,178.99000549316406,178.99000549316406,18464200,0.0009,0.0042,0.0298,0.0006,0.003,0.003,0.0109,0.0012,0.0146
36,2018-02-23,179.89999389648438,183.38999938964844,179.50999450683594,183.2899932861328,183.2899932861328,19007300,0.0007,0.0045,0.0339,0.0,0.0022,0.0023,0.0136,0.0,0.0169
37,2018-02-26,184.5800018310547,185.66000366210938,183.22000122070312,184.92999267578125,184.92999267578125,17599700,0.0008,0.0059,0.0082,0.0,0.0,0.0127,0.003,0.003,0.0022
38,2018-02-27,184.4499969482422,184.6999969482422,181.4600067138672,181.4600067138672,181.4600067138672,15849800,0.0004,0.0131,0.0043,0.0,0.0,0.0087,0.0087,0.0,0.0065
39,2018-02-28,182.3000030517578,182.8800048828125,178.13999938964844,178.32000732421875,178.32000732421875,18783000,0.0004,0.0052,0.0183,0.0,0.0105,0.0,0.0026,0.0026,0.0104
