,Date,Open,High,Low,Close,Adj Close,Volume,downloadedDate,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
0,2019-09-02,7207.2001953125,7315.2998046875,7206.89990234375,7281.89990234375,7281.89990234375,497764900,2019-09-02,0.0083,0.0214,0.0174,0.0012,0.0082,0.0211,0.0263,0.0073,0.0084,0.0195
1,2019-09-03,7281.89990234375,7301.5,7239.10009765625,7268.2001953125,7268.2001953125,626095300,2019-09-03,0.0105,0.0146,0.0271,0.002,0.0107,0.0178,0.0173,0.0091,0.0085,0.0137
2,2019-09-04,7268.2001953125,7334.60009765625,7268.2001953125,7311.2998046875,7311.2998046875,677444300,2019-09-04,0.0133,0.019,0.0262,0.0028,0.0209,0.0186,0.0159,0.0078,0.0084,0.011
3,2019-09-05,7311.2998046875,7330.7001953125,7250.60009765625,7271.2001953125,7271.2001953125,711302800,2019-09-05,0.0079,0.0164,0.0279,0.0031,0.0195,0.0267,0.0182,0.0061,0.0061,0.0158
4,2019-09-06,7271.2001953125,7284.10009765625,7244.10009765625,7282.2998046875,7282.2998046875,692287900,2019-09-06,0.0063,0.0235,0.0265,0.0024,0.0164,0.0325,0.0183,0.0092,0.0082,0.0113
5,2019-09-09,7282.2998046875,7325.2001953125,7206.0,7235.7998046875,7235.7998046875,794831900,2019-09-09,0.0067,0.0232,0.0148,0.001,0.0113,0.0281,0.0336,0.0095,0.0082,0.0329
6,2019-09-10,7235.7998046875,7270.5,7199.39990234375,7268.0,7268.0,1031549500,2019-09-10,0.0089,0.0203,0.027,0.0009,0.014,0.0271,0.0203,0.0077,0.0084,0.0149
7,2019-09-11,7268.0,7346.7001953125,7268.0,7338.0,7338.0,829121400,2019-09-11,0.0104,0.0201,0.0254,0.0018,0.0127,0.0265,0.0176,0.008,0.0074,0.0136
8,2019-09-12,7338.0,7369.2998046875,7303.2001953125,7344.7001953125,7344.7001953125,725259800,2019-09-12,0.0084,0.0183,0.0174,0.0016,0.0093,0.025,0.0145,0.0081,0.0064,0.0113
9,2019-09-13,7344.7001953125,7380.2998046875,7318.2001953125,7367.5,7367.5,1003827600,2019-09-13,0.006,0.0237,0.0113,0.0009,0.0063,0.019,0.0154,0.0068,0.0067,0.0069
10,2019-09-16,7367.5,7378.2998046875,7321.39990234375,7321.39990234375,7321.39990234375,908260500,2019-09-16,0.0074,0.0224,0.0157,0.0021,0.0077,0.0201,0.023,0.0065,0.0101,0.0156
11,2019-09-17,7321.39990234375,7350.2001953125,7292.2001953125,7320.39990234375,7320.39990234375,698421800,2019-09-17,0.0082,0.0146,0.0316,0.0045,0.0211,0.0287,0.0135,0.0109,0.0075,0.0139
12,2019-09-18,7320.39990234375,7350.5,7300.39990234375,7314.10009765625,7314.10009765625,642716000,2019-09-18,0.0064,0.0179,0.0208,0.0018,0.0122,0.0228,0.0148,0.0086,0.0082,0.0127
13,2019-09-19,7314.10009765625,7373.10009765625,7290.7001953125,7356.39990234375,7356.39990234375,632737400,2019-09-19,0.0046,0.0169,0.025,0.0015,0.0177,0.0248,0.0145,0.0085,0.0066,0.0138
14,2019-09-20,7356.39990234375,7376.2998046875,7322.0,7344.89990234375,7344.89990234375,1656288000,2019-09-20,0.0046,0.0192,0.0238,0.0013,0.0178,0.0288,0.0156,0.0094,0.0078,0.0109
15,2019-09-23,7344.89990234375,7362.2998046875,7284.7998046875,7326.10009765625,7326.10009765625,489660300,2019-09-23,0.0064,0.0213,0.0234,0.0014,0.0079,0.0211,0.0226,0.0094,0.0064,0.0146
16,2019-09-24,7326.10009765625,7349.0,7281.89990234375,7291.39990234375,7291.39990234375,588772200,2019-09-24,0.0086,0.015,0.0303,0.0022,0.0166,0.019,0.0179,0.0067,0.0079,0.0097
17,2019-09-25,7291.39990234375,7292.0,7213.0,7290.0,7290.0,704553100,2019-09-25,0.0057,0.017,0.0316,0.0016,0.0167,0.0176,0.0147,0.0096,0.0076,0.0106
18,2019-09-26,7290.0,7387.10009765625,7277.2001953125,7351.10009765625,7351.10009765625,704707500,2019-09-26,0.0073,0.0188,0.0219,0.0017,0.0103,0.0166,0.0166,0.0076,0.0091,0.0117
19,2019-09-27,7351.10009765625,7440.7998046875,7351.0,7426.2001953125,7426.2001953125,584318800,2019-09-27,0.0067,0.0138,0.0265,0.0014,0.0175,0.0215,0.0152,0.007,0.0068,0.0118
20,2019-09-30,7426.2001953125,7439.60009765625,7402.2001953125,7408.2001953125,7408.2001953125,655556100,2019-09-30,0.0043,0.0205,0.021,0.0007,0.0113,0.0183,0.0192,0.0068,0.0085,0.0149
21,2019-10-01,7408.2001953125,7433.2001953125,7352.7998046875,7360.2998046875,7360.2998046875,734563400,2019-10-01,0.0076,0.0206,0.0247,0.0024,0.0158,0.0214,0.0203,0.0099,0.0089,0.0144
22,2019-10-02,7360.2998046875,7360.2998046875,7119.7001953125,7122.5,7122.5,747799600,2019-10-02,0.0037,0.0192,0.0256,0.0021,0.0144,0.0222,0.0211,0.0086,0.0081,0.0147
23,2019-10-03,7122.5,7129.0,7004.39990234375,7077.60009765625,7077.60009765625,635551800,2019-10-03,0.0107,0.0182,0.03,0.0026,0.0178,0.0184,0.0161,0.0073,0.0079,0.0098
24,2019-10-04,7077.60009765625,7157.7998046875,7077.39990234375,7155.39990234375,7155.39990234375,588776100,2019-10-04,0.0095,0.0148,0.0338,0.0021,0.0205,0.0161,0.015,0.0079,0.007,0.0105
25,2019-10-07,7155.39990234375,7206.89990234375,7133.0,7197.89990234375,7197.89990234375,551391300,2019-10-07,0.0053,0.0232,0.0172,0.0013,0.0124,0.0291,0.0309,0.0099,0.0088,0.0233
26,2019-10-08,7197.89990234375,7223.89990234375,7143.2001953125,7143.2001953125,7143.2001953125,692866200,2019-10-08,0.0102,0.0196,0.025,0.002,0.0172,0.0211,0.0179,0.0094,0.0076,0.0133
27,2019-10-09,7143.2001953125,7196.39990234375,7139.89990234375,7166.5,7166.5,582025200,2019-10-09,0.0049,0.0185,0.0193,0.002,0.0138,0.0158,0.0146,0.007,0.0067,0.0108
28,2019-10-10,7166.5,7212.89990234375,7130.5,7186.39990234375,7186.39990234375,700021400,2019-10-10,0.006,0.0223,0.025,0.0037,0.0108,0.0257,0.0143,0.008,0.007,0.0108
29,2019-10-11,7186.39990234375,7250.10009765625,7144.7001953125,7247.10009765625,7247.10009765625,1507692000,2019-10-11,0.0058,0.0201,0.0265,0.0021,0.0154,0.0219,0.0145,0.0067,0.0062,0.0115
30,2019-10-14,7247.10009765625,7251.7998046875,7194.2001953125,7213.5,7213.5,780579200,2019-10-14,0.0038,0.0203,0.0232,0.001,0.0098,0.0186,0.0167,0.0114,0.007,0.0103
31,2019-10-15,7213.5,7242.39990234375,7176.7001953125,7211.60009765625,7211.60009765625,1123687400,2019-10-15,0.0085,0.0228,0.016,0.0016,0.0108,0.0238,0.0179,0.0066,0.0079,0.0126
32,2019-10-16,7211.60009765625,7217.60009765625,7149.7998046875,7168.0,7168.0,1000484300,2019-10-16,0.0036,0.0175,0.0265,0.0012,0.0124,0.0268,0.0171,0.0078,0.0084,0.0095
33,2019-10-17,7168.0,7237.7998046875,7162.0,7182.2998046875,7182.2998046875,1126096700,2019-10-17,0.0065,0.0191,0.019,0.0013,0.0105,0.0239,0.0165,0.0063,0.0067,0.0119
34,2019-10-18,7182.2998046875,7197.10009765625,7146.10009765625,7150.60009765625,7150.60009765625,869346100,2019-10-18,0.0069,0.021,0.0182,0.0012,0.0107,0.0258,0.0164,0.0063,0.0071,0.014
35,2019-10-21,7150.60009765625,7197.5,7139.39990234375,7163.60009765625,7163.60009765625,853632700,2019-10-21,0.0037,0.0257,0.0106,0.0006,0.0074,0.0193,0.0213,0.0054,0.0114,0.011
36,2019-10-22,7163.60009765625,7230.2001953125,7146.7001953125,7212.5,7212.5,800741400,2019-10-22,0.0144,0.0203,0.0224,0.0012,0.0115,0.022,0.0173,0.0074,0.0094,0.0121
37,2019-10-23,7212.5,7265.89990234375,7194.10009765625,7260.7001953125,7260.7001953125,764933300,2019-10-23,0.0074,0.0146,0.0204,0.001,0.0102,0.0183,0.0176,0.0068,0.0116,0.0129
38,2019-10-24,7260.7001953125,7338.89990234375,7255.5,7328.2998046875,7328.2998046875,733646100,2019-10-24,0.0055,0.018,0.025,0.0011,0.0143,0.0227,0.0176,0.0073,0.0071,0.0147
39,2019-10-25,7328.2998046875,7331.2001953125,7279.7998046875,7324.5,7324.5,580305100,2019-10-25,0.0048,0.0248,0.0218,0.0014,0.0135,0.0295,0.0196,0.007,0.0075,0.0108
40,2019-10-28,7324.5,7346.89990234375,7291.60009765625,7331.2998046875,7331.2998046875,676041800,2019-10-28,0.0034,0.0182,0.0211,0.0018,0.0057,0.0178,0.0141,0.007,0.0057,0.0096
41,2019-10-29,7331.2998046875,7335.7001953125,7264.7001953125,7306.2998046875,7306.2998046875,710020700,2019-10-29,0.0053,0.0201,0.0299,0.0014,0.0158,0.0207,0.017,0.0091,0.0097,0.0133
42,2019-10-30,7306.2998046875,7334.0,7278.2001953125,7330.7998046875,7330.7998046875,672191900,2019-10-30,0.005,0.0159,0.0267,0.0015,0.0216,0.0248,0.0177,0.0112,0.0069,0.0168
43,2019-10-31,7330.7998046875,7335.2001953125,7245.2001953125,7248.39990234375,7248.39990234375,847657500,2019-10-31,0.0066,0.0173,0.0224,0.0013,0.0154,0.0236,0.0166,0.0092,0.0064,0.0154
44,2019-11-01,7248.39990234375,7307.2001953125,7248.39990234375,7302.39990234375,7302.39990234375,582078600,2019-11-01,0.0057,0.0157,0.0266,0.0016,0.0195,0.0218,0.0162,0.0103,0.0058,0.0156
