,Date,Open,High,Low,Close,Adj Close,Volume,downloadedDate,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
0,2019-09-02,8810.7998046875,8858.400390625,8804.900390625,8815.5,8815.5,97947400,2019-09-02,0.0002,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0
1,2019-09-03,8806.7998046875,8828.7998046875,8772.7998046875,8809.2001953125,8809.2001953125,158817500,,,,,,,,,,,
2,2019-09-04,8872.2998046875,8904.5,8856.599609375,8856.599609375,8856.599609375,169520500,,,,,,,,,,,
3,2019-09-05,8913.0,8995.400390625,8908.099609375,8992.7001953125,8992.7001953125,215605500,,,,,,,,,,,
4,2019-09-06,8992.7998046875,9025.900390625,8958.599609375,8990.099609375,8990.099609375,168793800,2019-09-06,0.0001,0.0131,0.0033,0.0,0.0033,0.0262,0.0066,0.0033,0.0033,0.0033
5,2019-09-09,8997.7001953125,9026.2998046875,8987.599609375,9010.599609375,9010.599609375,179010000,,,,,,,,,,,
6,2019-09-10,9007.400390625,9088.099609375,8947.7001953125,9078.2001953125,9078.2001953125,265631700,2019-09-10,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-09-11,9109.2998046875,9124.0,9029.400390625,9059.5,9059.5,212019200,2019-09-11,0.001,0.009,0.0,0.0,0.0,0.0256,0.0045,0.0241,0.0,0.0
8,2019-09-12,9078.099609375,9112.900390625,8994.2998046875,9082.2998046875,9082.2998046875,231323500,2019-09-12,0.0001,0.0303,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0
9,2019-09-13,9099.7998046875,9153.5,9084.2998046875,9137.900390625,9137.900390625,226196600,,,,,,,,,,,
10,2019-09-16,9099.900390625,9101.2001953125,9049.0,9052.0,9052.0,174344900,,,,,,,,,,,
11,2019-09-17,9050.599609375,9052.099609375,8975.7998046875,9004.2001953125,9004.2001953125,221426400,2019-09-17,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-09-18,9016.5,9049.7001953125,8963.7998046875,9031.7001953125,9031.7001953125,182235100,2019-09-18,0.0002,0.0073,0.0146,0.0,0.0146,0.0146,0.0073,0.0,0.0,0.0219
13,2019-09-19,9043.099609375,9138.5,9027.7998046875,9136.0,9136.0,168884400,,,,,,,,,,,
14,2019-09-20,9137.0,9210.900390625,9132.2001953125,9179.0,9179.0,405543700,,,,,,,,,,,
15,2019-09-23,9154.900390625,9168.2998046875,9055.900390625,9093.599609375,9093.599609375,161360300,,,,,,,,,,,
16,2019-09-24,9116.099609375,9154.2001953125,9103.7998046875,9118.2001953125,9118.2001953125,139483100,2019-09-24,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-09-25,9087.2001953125,9119.2001953125,9000.900390625,9085.2998046875,9085.2998046875,148045500,,,,,,,,,,,
18,2019-09-26,9064.599609375,9143.0,9061.400390625,9129.7001953125,9129.7001953125,132267400,,,,,,,,,,,
19,2019-09-27,9149.7001953125,9210.5,9131.0,9184.099609375,9184.099609375,127034300,,,,,,,,,,,
20,2019-09-30,9194.7998046875,9257.2998046875,9189.599609375,9244.599609375,9244.599609375,177878400,,,,,,,,,,,
21,2019-10-01,9277.0,9298.7998046875,9165.099609375,9165.900390625,9165.900390625,150847200,2019-10-01,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2019-10-02,9150.099609375,9157.099609375,8912.2001953125,8912.2001953125,8912.2001953125,193947900,,,,,,,,,,,
23,2019-10-03,8935.7998046875,8971.400390625,8850.599609375,8902.2001953125,8902.2001953125,152587800,,,,,,,,,,,
24,2019-10-04,8944.2001953125,8961.7998046875,8858.599609375,8961.7998046875,8961.7998046875,148747800,,,,,,,,,,,
25,2019-10-07,8954.7001953125,9046.2998046875,8930.400390625,9044.099609375,9044.099609375,131080300,,,,,,,,,,,
26,2019-10-08,9066.5,9071.5,8900.7998046875,8940.099609375,8940.099609375,140370600,,,,,,,,,,,
27,2019-10-09,8952.7001953125,9035.599609375,8934.2001953125,8991.900390625,8991.900390625,103638000,2019-10-09,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2019-10-10,8997.400390625,9112.2001953125,8970.2998046875,9104.400390625,9104.400390625,156096600,,,,,,,,,,,
29,2019-10-11,9112.900390625,9273.7998046875,9104.7998046875,9273.7998046875,9273.7998046875,248406500,2019-10-11,0.0002,0.0566,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0
30,2019-10-14,9229.2001953125,9247.599609375,9195.2001953125,9246.5,9246.5,125125400,2019-10-14,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0
31,2019-10-15,9292.0,9370.2998046875,9278.2998046875,9356.099609375,9356.099609375,191056900,2019-10-15,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0
32,2019-10-16,9346.5,9398.599609375,9288.2001953125,9386.7001953125,9386.7001953125,205491300,2019-10-16,0.0004,0.0,0.0056,0.0,0.0,0.0028,0.0,0.0,0.0,0.0
33,2019-10-17,9360.900390625,9494.5,9340.0,9340.0,9340.0,195287100,,,,,,,,,,,
34,2019-10-18,9310.2998046875,9362.2001953125,9307.599609375,9329.7998046875,9329.7998046875,150240700,2019-10-18,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2019-10-21,9350.2998046875,9424.2998046875,9342.099609375,9402.2998046875,9402.2998046875,167986800,,,,,,,,,,,
36,2019-10-22,9393.2998046875,9417.400390625,9344.599609375,9380.2001953125,9380.2001953125,139500300,2019-10-22,0.0001,0.0,0.0017,0.0,0.0017,0.0,0.0,0.0034,0.0,0.0
37,2019-10-23,9339.2998046875,9392.2998046875,9332.400390625,9385.0,9385.0,146308800,2019-10-23,0.0001,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0
