,Date,Open,High,Low,Close,Adj Close,Volume,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,certaintyPartscr,uncertaintyPartscr
0,2018-01-02,86.12999725341797,86.30999755859375,85.5,85.94999694824219,82.79899597167969,22483800,0.0006,0.0234,0.019,0.0036,0.005,0.0336,0.0132,0.0116,0.0085
1,2018-01-03,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,83.184326171875,26061400,0.0005,0.0165,0.0145,0.0028,0.0059,0.0306,0.0192,0.0098,0.0137
2,2018-01-04,86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,83.91647338867188,21912000,0.0005,0.01,0.0325,0.0,0.0059,0.0076,0.0214,0.0104,0.0124
3,2018-01-05,87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,84.9568862915039,23407100,0.001,0.0124,0.0399,0.0021,0.0136,0.0164,0.0171,0.0082,0.0089
4,2018-01-08,88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,85.04357147216797,22113000,0.0005,0.0309,0.0084,0.0004,0.0063,0.0165,0.0178,0.0042,0.0068
5,2018-01-09,88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,84.98578643798828,19484300,0.0005,0.0183,0.0126,0.001,0.006,0.0216,0.0206,0.0056,0.0076
6,2018-01-10,87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,84.60044860839844,18652200,0.0002,0.008,0.0309,0.0011,0.0137,0.0114,0.0195,0.0172,0.0195
7,2018-01-11,88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,84.85090637207031,17808900,0.0003,0.0107,0.0267,0.0008,0.0046,0.0129,0.0137,0.0122,0.0046
8,2018-01-12,88.66999816894531,89.77999877929688,88.44999694824219,89.5999984741211,86.31517791748047,24271500,0.0007,0.0107,0.0215,0.0005,0.0078,0.0161,0.0068,0.0083,0.0039
9,2018-01-16,90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,85.11100769042969,36599700,0.0008,0.0149,0.0298,0.0004,0.0079,0.0106,0.0166,0.006,0.0072
10,2018-01-17,89.08000183105469,90.27999877929688,88.75,90.13999938964844,86.83537292480469,25621200,0.0004,0.0191,0.0315,0.0,0.0091,0.0108,0.0199,0.0043,0.011
11,2018-01-18,89.80000305175781,90.66999816894531,89.66000366210938,90.0999984741211,86.79685974121094,24159700,0.0007,0.0255,0.0221,0.0005,0.0064,0.0142,0.0184,0.0056,0.0081
12,2018-01-19,90.13999938964844,90.61000061035156,89.66000366210938,90.0,86.70052337646484,36875000,0.0004,0.0038,0.0354,0.0013,0.0013,0.0073,0.0166,0.0064,0.006
13,2018-01-22,90.0,91.62000274658203,89.73999786376953,91.61000061035156,88.2514877319336,23601600,0.0003,0.0206,0.0178,0.0006,0.0055,0.0132,0.0135,0.0077,0.0071
14,2018-01-23,91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,88.53087615966797,23412800,0.0009,0.0159,0.0115,0.0007,0.0047,0.0171,0.0122,0.0066,0.0063
15,2018-01-24,92.55000305175781,93.43000030517578,91.58000183105469,91.81999969482422,88.45378875732422,33277500,0.0006,0.0216,0.01,0.0004,0.0068,0.0288,0.0072,0.0088,0.0068
16,2018-01-25,92.47000122070312,93.23999786376953,91.93000030517578,92.33000183105469,88.94511413574219,26383200,0.0009,0.0132,0.0143,0.0008,0.0078,0.0317,0.0204,0.0082,0.0095
17,2018-01-26,93.12000274658203,94.05999755859375,92.58000183105469,94.05999755859375,90.61167907714844,29172200,0.0003,0.0061,0.0198,0.0,0.0026,0.0284,0.0181,0.0095,0.0138
18,2018-01-29,95.13999938964844,95.44999694824219,93.72000122070312,93.91999816894531,90.476806640625,31569900,0.001,0.0202,0.0157,0.0007,0.0039,0.019,0.0149,0.0085,0.0064
19,2018-01-30,93.30000305175781,93.66000366210938,92.0999984741211,92.73999786376953,89.3400650024414,38635100,0.0007,0.0306,0.0075,0.0003,0.0048,0.0119,0.0204,0.0082,0.0088
20,2018-01-31,93.75,95.4000015258789,93.51000213623047,95.01000213623047,91.52684783935547,48756300,0.0022,0.0171,0.0123,0.0016,0.009,0.0265,0.0188,0.007,0.0079
21,2018-02-01,94.79000091552734,96.06999969482422,93.58000183105469,94.26000213623047,90.80435180664062,47227900,0.0022,0.0193,0.02,0.0007,0.0095,0.0301,0.011,0.0098,0.007
22,2018-02-02,93.63999938964844,93.97000122070312,91.5,91.77999877929688,88.4152603149414,47867800,0.0008,0.0156,0.0194,0.0013,0.0057,0.0223,0.013,0.006,0.0079
23,2018-02-05,90.55999755859375,93.23999786376953,88.0,88.0,84.77384185791016,51031500,0.0006,0.014,0.0178,0.0004,0.0143,0.0136,0.0084,0.0101,0.0059
24,2018-02-06,86.88999938964844,91.4800033569336,85.25,91.33000183105469,87.98175048828125,67998600,0.0007,0.0107,0.0234,0.0,0.0166,0.0121,0.0077,0.0057,0.0117
25,2018-02-07,90.48999786376953,91.7699966430664,89.19999694824219,89.61000061035156,86.32481384277344,41107600,0.0005,0.0143,0.0106,0.0,0.0042,0.0227,0.0097,0.0069,0.0083
26,2018-02-08,89.70999908447266,89.87999725341797,84.76000213623047,85.01000213623047,81.89347076416016,55628700,0.0004,0.021,0.0182,0.0015,0.0107,0.0207,0.0186,0.007,0.0129
27,2018-02-09,86.30000305175781,88.93000030517578,83.83000183105469,88.18000030517578,84.94723510742188,63499100,0.0008,0.009,0.0132,0.0009,0.0051,0.0055,0.0111,0.0055,0.0072
28,2018-02-12,88.73999786376953,89.77999877929688,87.93000030517578,89.12999725341797,85.86239624023438,35720300,0.0011,0.0106,0.0133,0.0009,0.006,0.0126,0.0194,0.0103,0.0085
29,2018-02-13,88.93000030517578,90.0,87.80000305175781,89.83000183105469,86.53675842285156,26407700,0.0003,0.017,0.011,0.0009,0.0081,0.0115,0.023,0.0072,0.0102
30,2018-02-14,88.51000213623047,90.98999786376953,88.41000366210938,90.80999755859375,87.89176940917969,34960900,0.0004,0.0131,0.0173,0.003,0.003,0.0227,0.0169,0.0042,0.0084
31,2018-02-15,91.20999908447266,92.72000122070312,90.62000274658203,92.66000366210938,89.68231201171875,27823900,0.0006,0.0212,0.0223,0.0014,0.0055,0.0148,0.0187,0.0041,0.0155
32,2018-02-16,92.44999694824219,93.5,91.80000305175781,92.0,89.04352569580078,30596900,0.0002,0.0175,0.0204,0.0,0.0197,0.0219,0.0088,0.0095,0.0117
33,2018-02-20,91.4800033569336,93.05999755859375,91.01000213623047,92.72000122070312,89.74038696289062,30911700,0.0001,0.0248,0.005,0.0,0.003,0.0139,0.0119,0.001,0.002
34,2018-02-21,92.9800033569336,93.36000061035156,91.48999786376953,91.48999786376953,88.54989624023438,26922500,0.0007,0.0263,0.0098,0.0013,0.0027,0.0226,0.0154,0.0035,0.0043
35,2018-02-22,92.05000305175781,92.7300033569336,91.36000061035156,91.7300033569336,88.7822036743164,24392800,0.0008,0.0232,0.0146,0.0019,0.0049,0.0268,0.0154,0.0066,0.0074
36,2018-02-23,93.5999984741211,94.06999969482422,92.36000061035156,94.05999755859375,91.03732299804688,26329200,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-02-26,94.4000015258789,95.44999694824219,94.25,95.41999816894531,92.35360717773438,30199800,0.0008,0.0113,0.0197,0.0017,0.0037,0.0106,0.0149,0.0064,0.0115
38,2018-02-27,95.73999786376953,95.83999633789062,94.19999694824219,94.19999694824219,91.17283630371094,25869100,0.0007,0.0095,0.0183,0.0016,0.0031,0.0098,0.0145,0.0072,0.0075
39,2018-02-28,94.83999633789062,95.70999908447266,93.62999725341797,93.7699966430664,90.75664520263672,31167300,0.0007,0.0227,0.0215,0.0038,0.0028,0.0133,0.0169,0.0049,0.0074
40,2018-03-01,93.98999786376953,94.56999969482422,91.83999633789062,92.8499984741211,89.8662109375,37135600,0.0003,0.0231,0.0057,0.0007,0.0032,0.011,0.0164,0.0011,0.0025
41,2018-03-02,91.58000183105469,93.1500015258789,90.86000061035156,93.05000305175781,90.05978393554688,32830400,0.001,0.0097,0.0116,0.0007,0.0038,0.0092,0.021,0.0092,0.0127
