,Date,Open,High,Low,Close,Adj Close,Volume,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,certaintyPartscr,uncertaintyPartscr
0,2018-01-02,36.380001068115234,36.52000045776367,36.2400016784668,36.439998626708984,33.24916076660156,16185800,,,,,,,,,
1,2018-01-03,36.45000076293945,36.77000045776367,36.22999954223633,36.709999084472656,33.495506286621094,13456500,0.0011,0.0272,0.0088,0.0,0.0031,0.0096,0.0207,0.0023,0.0288
2,2018-01-04,36.709999084472656,36.91999816894531,36.599998474121094,36.790000915527344,33.568511962890625,12378100,0.0007,0.0227,0.0097,0.0,0.0,0.0052,0.0169,0.0058,0.0071
3,2018-01-05,36.81999969482422,36.880001068115234,36.61000061035156,36.86000061035156,33.632381439208984,12492900,0.0002,0.0325,0.0125,0.0,0.0,0.015,0.025,0.01,0.0075
4,2018-01-08,36.720001220703125,36.79999923706055,36.33000183105469,36.45000076293945,33.25828170776367,18941500,0.0009,0.0175,0.0087,0.0,0.0049,0.0074,0.0222,0.0025,0.015
5,2018-01-09,36.439998626708984,36.63999938964844,36.36000061035156,36.40999984741211,33.22178268432617,16011600,0.0004,0.0219,0.0252,0.0,0.005,0.0124,0.0192,0.0057,0.0128
6,2018-01-10,36.34000015258789,36.61000061035156,36.310001373291016,36.470001220703125,33.27653121948242,17794900,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-01-11,36.63999938964844,36.70000076293945,36.41999816894531,36.560001373291016,33.3586540222168,14328800,0.0001,0.0098,0.0098,0.0,0.0098,0.0196,0.0,0.0098,0.0
8,2018-01-12,36.630001068115234,36.79999923706055,36.459999084472656,36.540000915527344,33.34040069580078,19203700,,,,,,,,,
9,2018-01-16,36.56999969482422,36.97999954223633,36.470001220703125,36.599998474121094,33.3951416015625,28972200,0.0001,0.0162,0.0146,0.0016,0.0,0.0097,0.0114,0.0,0.0308
10,2018-01-17,36.81999969482422,37.369998931884766,36.77000045776367,37.18000030517578,33.92436599731445,24034500,,,,,,,,,
11,2018-01-18,37.16999816894531,37.16999816894531,36.70000076293945,36.9900016784668,33.750999450683594,18924600,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-01-19,37.189998626708984,37.279998779296875,36.5,36.939998626708984,33.70537567138672,29538600,,,,,,,,,
13,2018-01-22,36.88999938964844,37.06999969482422,36.72999954223633,36.93000030517578,33.696258544921875,20285100,0.0002,0.0074,0.0074,0.0,0.0018,0.0129,0.0111,0.011,0.0074
14,2018-01-23,36.81999969482422,37.08000183105469,36.540000915527344,36.81999969482422,33.595882415771484,17578000,0.0001,0.0188,0.0217,0.0,0.0144,0.0202,0.0188,0.0101,0.0058
15,2018-01-24,36.9900016784668,37.06999969482422,36.72999954223633,36.93000030517578,33.696258544921875,17716500,0.0005,0.0151,0.0249,0.0,0.0065,0.0098,0.0131,0.0026,0.0268
16,2018-01-25,36.970001220703125,37.34000015258789,36.900001525878906,37.22999954223633,33.9699821472168,18015400,,,,,,,,,
17,2018-01-26,37.29999923706055,39.09000015258789,37.29999923706055,39.0099983215332,35.594120025634766,48805900,0.0001,0.0211,0.0,0.0,0.0,0.0211,0.0316,0.0105,0.0211
18,2018-01-29,39.0,39.43000030517578,38.77000045776367,39.02000045776367,35.60323715209961,34894700,0.0002,0.0161,0.0301,0.0,0.006,0.004,0.0161,0.008,0.008
19,2018-01-30,38.209999084472656,38.75,37.349998474121094,37.79999923706055,34.49007034301758,45999700,0.0037,0.0173,0.019,0.0007,0.013,0.0165,0.0096,0.0051,0.0216
20,2018-01-31,37.91999816894531,37.9900016784668,36.83000183105469,37.040000915527344,33.79662322998047,34022700,0.0005,0.0117,0.0312,0.0039,0.0155,0.0039,0.0078,0.0,0.0039
21,2018-02-01,36.61000061035156,37.400001525878906,36.61000061035156,36.83000183105469,33.91633605957031,28176400,,,,,,,,,
22,2018-02-02,36.599998474121094,37.25,36.5099983215332,36.61000061035156,33.7137451171875,24277900,0.0001,0.0105,0.0263,0.0053,0.0053,0.0421,0.0105,0.0,0.0158
23,2018-02-05,36.47999954223633,36.70000076293945,34.0,34.66999816894531,31.927209854125977,40288100,0.0008,0.0149,0.0205,0.0,0.0088,0.0134,0.0176,0.0026,0.025
24,2018-02-06,34.15999984741211,35.47999954223633,34.0,35.279998779296875,32.48895263671875,53164200,0.0001,0.0033,0.0081,0.0,0.0081,0.0178,0.0017,0.0065,0.0032
25,2018-02-07,35.130001068115234,35.650001525878906,34.970001220703125,34.97999954223633,32.21269226074219,29370000,0.0003,0.0157,0.0045,0.0,0.0,0.0056,0.0034,0.0022,0.0011
26,2018-02-08,35.0,35.16999816894531,33.599998474121094,33.630001068115234,30.969493865966797,43501700,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2018-02-09,34.189998626708984,34.43000030517578,33.20000076293945,34.15999984741211,31.457565307617188,47297700,0.0001,0.0,0.0142,0.0,0.0124,0.0,0.0,0.0,0.0
28,2018-02-12,34.45000076293945,34.869998931884766,34.029998779296875,34.65999984741211,31.918001174926758,36758700,0.0007,0.0188,0.0128,0.0003,0.0104,0.0095,0.023,0.0075,0.0224
29,2018-02-13,34.56999969482422,35.029998779296875,34.40999984741211,34.939998626708984,32.17585754394531,20455000,0.0,0.0478,0.0074,0.0,0.0,0.0257,0.011,0.0,0.0037
30,2018-02-14,34.70000076293945,35.34000015258789,34.560001373291016,35.189998626708984,32.40607452392578,23239800,0.0002,0.0254,0.014,0.0,0.006,0.0107,0.0207,0.0033,0.0354
31,2018-02-15,35.369998931884766,35.72999954223633,35.08000183105469,35.709999084472656,32.884944915771484,21431100,0.0009,0.0173,0.018,0.0006,0.0035,0.0166,0.0104,0.0018,0.0145
32,2018-02-16,35.7599983215332,36.65999984741211,35.68000030517578,36.2599983215332,33.39143371582031,26242500,0.0001,0.0211,0.0211,0.0,0.0176,0.0141,0.0246,0.0176,0.0246
33,2018-02-20,36.02000045776367,36.4900016784668,35.880001068115234,36.0099983215332,33.16120529174805,25808700,0.0,0.011,0.011,0.0,0.0,0.011,0.0166,0.0055,0.011
34,2018-02-21,35.970001220703125,36.59000015258789,35.72999954223633,35.7599983215332,32.93098068237305,24546800,,,,,,,,,
35,2018-02-22,35.869998931884766,36.150001525878906,35.61000061035156,35.7400016784668,32.91257095336914,22754700,,,,,,,,,
36,2018-02-23,35.93000030517578,36.29999923706055,35.83000183105469,36.2599983215332,33.39143371582031,17020900,0.0013,0.0154,0.0173,0.0003,0.0038,0.0152,0.0161,0.0015,0.0227
37,2018-02-26,36.290000915527344,37.209999084472656,36.209999084472656,37.09000015258789,34.15576171875,24105600,,,,,,,,,
38,2018-02-27,37.06999969482422,37.2400016784668,36.7400016784668,36.79999923706055,33.88870620727539,22336900,,,,,,,,,
39,2018-02-28,37.029998779296875,37.279998779296875,36.310001373291016,36.310001373291016,33.437477111816406,26907900,0.0008,0.0,0.0,0.0,0.0006,0.0006,0.0111,0.0,0.0
40,2018-03-01,36.119998931884766,36.27000045776367,35.20000076293945,35.630001068115234,32.8112678527832,28731400,0.0007,0.0036,0.0053,0.0004,0.0028,0.0049,0.0138,0.0024,0.0024
41,2018-03-02,35.54999923706055,36.06999969482422,35.400001525878906,35.95000076293945,33.105953216552734,21130300,0.001,0.0086,0.0,0.0,0.0009,0.0035,0.0147,0.0009,0.0
42,2018-03-05,35.81999969482422,36.279998779296875,35.77000045776367,36.119998931884766,33.26250076293945,21176100,0.0004,0.0086,0.0032,0.0009,0.0009,0.0045,0.0032,0.0009,0.0041
43,2018-03-06,36.2400016784668,36.2400016784668,35.75,35.880001068115234,33.0414924621582,17081100,0.0003,0.0092,0.0144,0.0013,0.0066,0.0078,0.0131,0.0079,0.0105
44,2018-03-07,35.599998474121094,36.08000183105469,35.54999923706055,35.93000030517578,33.08753967285156,22239400,0.0002,0.0036,0.0,0.0,0.0024,0.0012,0.0132,0.0024,0.024
45,2018-03-08,35.9900016784668,36.5,35.93000030517578,36.5,33.61244201660156,20537600,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2018-03-09,36.61000061035156,36.91999816894531,36.529998779296875,36.77000045776367,33.861080169677734,18311900,0.0003,0.0074,0.0167,0.0,0.013,0.0093,0.0037,0.0056,0.0037
47,2018-03-12,36.91999816894531,37.0,36.5,36.61000061035156,33.7137451171875,25210300,0.0008,0.0063,0.0092,0.0007,0.0004,0.0044,0.0048,0.0007,0.0092
48,2018-03-13,36.79999923706055,36.959999084472656,36.43000030517578,36.75,33.84266662597656,28046200,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0
49,2018-03-14,36.84000015258789,36.9900016784668,36.18000030517578,36.349998474121094,33.474308013916016,22180700,0.0002,0.0056,0.0113,0.0,0.0113,0.0253,0.0112,0.0028,0.0
50,2018-03-15,36.349998474121094,36.810001373291016,36.349998474121094,36.58000183105469,33.686119079589844,19457600,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2018-03-16,36.63999938964844,37.040000915527344,36.619998931884766,36.779998779296875,33.87028884887695,32376900,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
52,2018-03-19,36.79999923706055,36.79999923706055,36.08000183105469,36.33000183105469,33.455894470214844,18978900,0.0007,0.0145,0.013,0.0,0.0042,0.0097,0.0123,0.0015,0.0207
53,2018-03-20,36.369998931884766,36.54999923706055,36.119998931884766,36.33000183105469,33.455894470214844,19256000,0.0001,0.0064,0.0032,0.0,0.0064,0.0128,0.016,0.0,0.0032
54,2018-03-21,36.4900016784668,36.72999954223633,36.20000076293945,36.27000045776367,33.400638580322266,18094300,,,,,,,,,
55,2018-03-22,36.029998779296875,36.13999938964844,35.470001220703125,35.599998474121094,32.78364181518555,20962700,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
