,Date,Open,High,Low,Close,Adj Close,Volume,downloadedDate,RVT,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
0,2019-09-03,2909.010009765625,2914.389892578125,2891.85009765625,2906.27001953125,2906.27001953125,3426790000,2019-09-03,0.0142,0.0043,0.0471,0.0018,0.0013,0.0036,0.0125,0.0032,0.0077,0.0051
1,2019-09-04,2924.669921875,2938.840087890625,2921.860107421875,2937.780029296875,2937.780029296875,3163260000,2019-09-04,0.0107,0.0061,0.0489,0.0024,0.0083,0.0073,0.0123,0.0047,0.0078,0.0064
2,2019-09-05,2960.60009765625,2985.860107421875,2960.60009765625,2976.0,2976.0,3890700000,2019-09-05,0.0056,0.011,0.0502,0.0016,0.0085,0.0159,0.0169,0.0068,0.008,0.0088
3,2019-09-06,2980.330078125,2985.030029296875,2972.510009765625,2978.7099609375,2978.7099609375,3208280000,2019-09-06,0.0194,0.0073,0.0672,0.0017,0.0047,0.0091,0.0165,0.0039,0.0083,0.0076
4,2019-09-09,2988.429931640625,2989.429931640625,2969.389892578125,2978.429931640625,2978.429931640625,4002890000,2019-09-09,0.0041,0.0087,0.0289,0.0009,0.0024,0.0048,0.0109,0.0035,0.0028,0.0044
5,2019-09-10,2971.010009765625,2979.389892578125,2957.010009765625,2979.389892578125,2979.389892578125,4390770000,2019-09-10,0.0066,0.0265,0.0255,0.0007,0.0039,0.0146,0.0113,0.004,0.0039,0.0086
6,2019-09-11,2981.409912109375,3000.929931640625,2975.31005859375,3000.929931640625,3000.929931640625,3927550000,2019-09-11,0.0031,0.0044,0.0484,0.0007,0.0061,0.0061,0.0103,0.0032,0.0045,0.0086
7,2019-09-12,3009.080078125,3020.739990234375,3000.919921875,3009.570068359375,3009.570068359375,3791860000,2019-09-12,0.0057,0.0053,0.0544,0.0029,0.0066,0.0107,0.0085,0.0048,0.0035,0.0082
8,2019-09-13,3012.2099609375,3017.330078125,3002.89990234375,3007.389892578125,3007.389892578125,3520060000,2019-09-13,0.0084,0.0066,0.0459,0.0011,0.0036,0.0092,0.0109,0.0031,0.0068,0.0044
9,2019-09-16,2996.409912109375,3002.18994140625,2990.669921875,2997.9599609375,2997.9599609375,4274640000,2019-09-16,0.0036,0.0064,0.0268,0.0,0.0038,0.0088,0.007,0.0029,0.0035,0.0101
10,2019-09-17,2995.669921875,3006.2099609375,2993.72998046875,3005.699951171875,3005.699951171875,3671840000,2019-09-17,0.0053,0.0184,0.0239,0.0009,0.0075,0.016,0.0117,0.0063,0.0046,0.0062
11,2019-09-18,3001.5,3007.830078125,2978.570068359375,3006.72998046875,3006.72998046875,3435540000,2019-09-18,0.0036,0.0102,0.0285,0.002,0.0061,0.014,0.0095,0.0055,0.0062,0.0098
12,2019-09-19,3010.360107421875,3021.989990234375,3003.159912109375,3006.7900390625,3006.7900390625,3251290000,2019-09-19,0.0028,0.0108,0.0351,0.0013,0.0114,0.0156,0.0135,0.0058,0.0076,0.0099
13,2019-09-20,3008.419921875,3016.3701171875,2984.679931640625,2992.070068359375,2992.070068359375,6094740000,2019-09-20,0.0043,0.0049,0.0259,0.0012,0.0051,0.0088,0.0091,0.0048,0.003,0.007
14,2019-09-23,2983.5,2999.14990234375,2982.22998046875,2991.780029296875,2991.780029296875,3186590000,2019-09-23,0.0025,0.0075,0.0271,0.0021,0.0079,0.0104,0.01,0.0054,0.0029,0.0059
15,2019-09-24,3002.429931640625,3007.97998046875,2957.72998046875,2966.60009765625,2966.60009765625,3868160000,2019-09-24,0.0103,0.0184,0.0479,0.0012,0.0079,0.0138,0.0131,0.0037,0.0061,0.0073
16,2019-09-25,2968.35009765625,2989.820068359375,2952.860107421875,2984.8701171875,2984.8701171875,3318870000,2019-09-25,0.0056,0.009,0.0418,0.0022,0.0085,0.0135,0.0143,0.006,0.0077,0.0096
17,2019-09-26,2985.72998046875,2987.280029296875,2963.7099609375,2977.6201171875,2977.6201171875,3077240000,2019-09-26,0.0033,0.0126,0.0573,0.0028,0.0075,0.0106,0.0134,0.0056,0.0078,0.0077
18,2019-09-27,2985.469970703125,2987.31005859375,2945.530029296875,2961.7900390625,2961.7900390625,3243650000,2019-09-27,0.0028,0.0081,0.0168,0.0008,0.0047,0.0095,0.0058,0.0065,0.0038,0.0031
19,2019-09-30,2967.070068359375,2983.85009765625,2967.070068359375,2976.739990234375,2976.739990234375,3247610000,2019-09-30,0.003,0.0102,0.0294,0.0005,0.007,0.012,0.0212,0.005,0.0125,0.0062
20,2019-10-01,2983.68994140625,2992.530029296875,2938.699951171875,2940.25,2940.25,3558040000,2019-10-01,0.006,0.0074,0.0618,0.0009,0.0061,0.0168,0.0149,0.0047,0.0067,0.0111
21,2019-10-02,2924.780029296875,2924.780029296875,2874.929931640625,2887.610107421875,2887.610107421875,3912520000,2019-10-02,0.0027,0.0071,0.0484,0.0005,0.0037,0.007,0.0121,0.0043,0.0062,0.0071
